Experiment,Year,Field#,PlotID,Rotation,Rep,N-Old,Nitro,Pedigree,HYB,Source,Plot#,Range,Row,Root#,PlotiD
2023_Rotational Plots,2023,211,21104,4Year,2,N1,N1,B73xPHZ51,NREC03,2021MOB:1564-69,3242,4,15,1,21104
2023_Rotational Plots,2023,211,21105,4Year,2,N1,N1,B73xPHG47,NREC02,2021MOB:1556-61,3241,4,19,1,21105
2023_Rotational Plots,2023,211,21106,4Year,2,N1,N1,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3246,5,3,1,21106
2023_Rotational Plots,2023,211,21107,4Year,2,N1,N1,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3247,5,7,1,21107
2023_Rotational Plots,2023,211,21108,4Year,2,N1,N1,Z031E0047xPH207,NREC12,2021MOB:1636-41,3248,5,11,1,21108
2023_Rotational Plots,2023,211,21109,4Year,2,N1,N1,B73xPH207,NREC04,2021MOB:1572-77,3249,5,15,1,21109
2023_Rotational Plots,2023,211,21110,4Year,2,N1,N1,BR64K93,CHECK4,Blue River Hybrid,3250,5,19,1,21110
2023_Rotational Plots,2023,211,21111,4Year,2,N1,N1,Z031E0021xPHZ51,NREC07,2021MOB:1596,3255,6,3,1,21111
2023_Rotational Plots,2023,211,21112,4Year,2,N1,N1,Z031E0021xPH207,NREC08,2021MOB:1604-09,3254,6,7,1,21112
2023_Rotational Plots,2023,211,21113,4Year,2,N1,N1,B73XMo17,NREC01,2021MOB:1548-53,3253,6,11,1,21113
2023_Rotational Plots,2023,211,21114,4Year,2,N1,N1,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3252,6,15,1,21114
2023_Rotational Plots,2023,211,21115,4Year,2,N1,N1,PH6878,CHECK5,Prairie Hyb,3251,6,19,1,21115
2023_Rotational Plots,2023,212,21201,4Year,2,N3,N3,B73xPH207,NREC04,2021MOB:1572-77,3256,7,3,1,21201
